;Sample01;Sample02;Sample03;Sample04;Sample05;Sample06;Sample07;Sample08;Sample09;Sample10;Sample11;Sample12;Sample13;Sample14;Sample15;Sample16;Sample17;Sample18;Sample19;Sample20;Sample21;Sample22;Sample23;Sample24;Sample25;Sample26;Sample27;Sample28;Sample29;Sample30;Sample31;Sample32;Sample33;Sample34;Sample35;Sample36;Sample37;Sample38;Sample39;Sample40;Sample41;Sample42;Sample43;Sample44;Sample45;Sample46;Sample47;Sample48;Sample49;Sample50;Sample51;Sample52;Sample53;Sample54;Sample55;Sample56;Sample57;Sample58;Sample59;Sample60;Sample61;Sample62;Sample63;Sample64;Sample65;Sample66;Sample67;Sample68;Sample69;Sample70;Sample71;Sample72;Sample73;Sample74;Sample75;Sample76;Sample77;Sample78;Sample79;Sample80;Sample81;Sample82;Sample83;Sample84;Sample85;Sample86;Sample87;Sample88;Sample89;Sample90;Sample91;Sample92;Sample93;Sample94;Sample95;Sample96;Sample97;Sample98;Sample99;Sample100;Sample101;Sample102;Sample103;Sample104;Sample105;Sample106;Sample107;Sample108;Sample109;Sample110;Sample111;Sample112;Sample113;Sample114;Sample115;Sample116;Sample117;Sample118;Sample119;Sample120;Sample121;Sample122;Sample123;Sample124;Sample125;Sample126;Sample127;Sample128;Sample129;Sample130;Sample131;Sample132;Sample133;Sample134;Sample135;Sample136;Sample137;Sample138;Sample139;Sample140;Sample141;Sample142;Sample143;Sample144;Sample145;Sample146;Sample147;Sample148;Sample149;Sample150;Sample151;Sample152;Sample153;Sample154;Sample155;Sample156;Sample157;Sample158;Sample159;Sample160;Sample161;Sample162;Sample163;Sample164;Sample165;Sample166;Sample167;Sample168;Sample169;Sample170;Sample171;Sample172;Sample173;Sample174;Sample175;Sample176;Sample177;Sample178;Sample179;Sample180;Sample181;Sample182;Sample183;Sample184;Sample185;Sample186;Sample187;Sample188;Sample189;Sample190;Sample191;Sample192;Sample193;Sample194;Sample195;Sample196;Sample197;Sample198;Sample199;Sample200;Sample201;Sample202;Sample203;Sample204;Sample205;Sample206;Sample207;Sample208;Sample209;Sample210;Sample211;Sample212;Sample213;Sample214;Sample215;Sample216
Sample01;0;0.875381;0.83363;0.821246;0.775246;0.817246;0.741272;0.772972;0.731219;0.932373;0.804319;0.71219;0.847653;0.799462;0.943663;0.780024;0.824611;0.914523;0.855938;0.898851;0.865745;0.823186;0.975836;0.839664;0.885891;0.955047;0.943571;0.861712;0.743641;0.78765;0.898193;0.922959;0.836156;0.833305;0.838294;0.86903;0.924558;0.936618;0.892931;0.891067;0.944013;0.904068;0.86067;0.886615;0.918965;0.944616;0.893976;0.910489;0.964936;0.882857;0.861948;0.923622;0.891228;0.902536;0.900492;0.894584;0.982667;0.873412;0.920333;0.930326;0.948943;0.923506;0.934094;0.873075;0.909927;0.897522;0.885442;0.896378;0.926113;0.925599;0.895018;0.997905;0.995411;0.990401;0.989969;0.997052;0.926755;0.932006;0.884618;0.993316;0.999097;0.874826;0.921169;0.884897;0.99971;0.889753;0.86221;0.859696;0.922827;0.864992;0.96269;0.855182;0.812179;0.864398;0.886402;0.890564;0.869814;0.86262;0.897221;0.904527;0.906953;0.951264;0.911989;0.952132;0.921202;0.913211;0.899504;0.958272;0.920165;0.906276;0.961857;0.975876;0.979224;0.995644;0.992624;0.962815;0.923025;0.893548;0.949956;0.943932;0.876326;0.904858;0.94669;0.914369;0.881863;0.929809;0.87808;0.876778;0.90057;0.885359;0.913611;0.918145;0.806753;0.817856;0.818575;0.799483;0.805757;0.821006;0.883978;0.860206;0.873116;0.868574;0.860372;0.835237;0.895991;0.86952;0.883133;0.893725;0.999607;0.998075;0.933308;0.966964;0.957905;0.982751;0.938691;0.922578;0.928437;0.932145;0.956734;0.928432;0.984748;0.991725;0.883055;0.885664;0.898039;0.955739;0.946605;0.992822;0.924552;0.851768;0.929983;0.917165;0.897397;0.959018;0.949376;0.965903;0.973191;0.961118;0.996305;0.943121;0.94745;0.957068;0.963798;0.94683;0.975996;0.986864;0.993826;0.999093;0.907102;0.958688;0.998344;0.983447;0.957713;0.99391;0.958583;0.99514;0.991826;0.967662;0.99876;0.999635;0.998272;0.97474;0.96033;0.993427;0.99963;0.999874;0.999979;0.858609;0.842241;0.847217;0.85043;0.858478;0.872533;0.817795;0.80128;0.791493
Sample02;0.875381;0;0.743713;0.751574;0.852718;0.801169;0.759772;0.877158;0.828809;0.90851;0.862581;0.854212;0.791191;0.807201;0.90035;0.868291;0.842293;0.893041;0.779216;0.848056;0.805779;0.833993;0.953083;0.837689;0.865638;0.919545;0.909491;0.846198;0.776371;0.813667;0.832716;0.839115;0.887139;0.875311;0.777289;0.837861;0.865665;0.891548;0.824277;0.892508;0.940173;0.915687;0.840416;0.918296;0.915988;0.920733;0.814142;0.858712;0.970642;0.898164;0.871487;0.921835;0.876265;0.908606;0.865597;0.907732;0.966589;0.846311;0.886446;0.898601;0.917482;0.913791;0.928307;0.823108;0.873802;0.868347;0.864386;0.859532;0.88298;0.890041;0.880561;0.996169;0.993112;0.989707;0.98955;0.994725;0.856295;0.844902;0.8004;0.992727;0.998447;0.810137;0.854044;0.782728;0.999658;0.908652;0.90908;0.883161;0.913236;0.878374;0.943684;0.887088;0.878478;0.872745;0.895948;0.904333;0.874711;0.882004;0.889;0.814844;0.796662;0.872549;0.786498;0.886513;0.797608;0.809972;0.809481;0.968483;0.82243;0.810826;0.974498;0.959944;0.95956;0.991551;0.986002;0.97442;0.916779;0.89824;0.938777;0.934417;0.912813;0.875293;0.914969;0.882303;0.867377;0.921938;0.819647;0.815487;0.822301;0.810537;0.824918;0.825796;0.941553;0.960037;0.952574;0.944996;0.944951;0.946829;0.958015;0.935835;0.94352;0.940754;0.936313;0.964704;0.958282;0.947819;0.964368;0.958614;0.999116;0.997209;0.933963;0.953636;0.952564;0.970878;0.920252;0.910441;0.898139;0.877449;0.944459;0.876732;0.991084;0.982689;0.8583;0.868564;0.86675;0.953201;0.941384;0.987722;0.906346;0.835244;0.928801;0.898354;0.875899;0.947271;0.930675;0.952987;0.956852;0.952365;0.996111;0.928418;0.916955;0.939713;0.951167;0.930023;0.961683;0.980277;0.990328;0.998941;0.847191;0.922433;0.996875;0.991963;0.930711;0.992269;0.952666;0.992882;0.986471;0.962876;0.998303;0.999369;0.997183;0.957145;0.949554;0.990971;0.999411;0.999785;0.999958;0.843841;0.840644;0.832029;0.852353;0.830307;0.858874;0.847168;0.867319;0.849192
Sample03;0.83363;0.743713;0;0.765787;0.827793;0.782147;0.720783;0.766561;0.76944;0.864785;0.819244;0.778613;0.795304;0.790792;0.883762;0.780611;0.803234;0.872125;0.699522;0.847339;0.721289;0.823434;0.921312;0.761906;0.863006;0.901495;0.903754;0.832295;0.741191;0.768041;0.81198;0.862662;0.801621;0.853475;0.706999;0.827448;0.863253;0.851549;0.773355;0.83857;0.910563;0.853044;0.770119;0.860012;0.897523;0.935943;0.812983;0.841614;0.957874;0.800664;0.784547;0.853465;0.80641;0.836581;0.822298;0.837482;0.963187;0.803971;0.880846;0.866796;0.903239;0.889239;0.900168;0.784953;0.84135;0.826946;0.843648;0.826432;0.858268;0.870762;0.837013;0.998107;0.997016;0.995833;0.996568;0.997436;0.840591;0.854266;0.788161;0.996953;0.998867;0.774982;0.837884;0.740794;0.999681;0.84518;0.853073;0.835832;0.87507;0.833426;0.93162;0.827374;0.831972;0.828344;0.845608;0.873258;0.832142;0.815812;0.847837;0.801986;0.791121;0.843873;0.772384;0.890577;0.802106;0.78607;0.755627;0.937198;0.804131;0.807225;0.946883;0.951382;0.948977;0.997635;0.990486;0.950925;0.84567;0.814901;0.886887;0.876341;0.827035;0.820049;0.903061;0.8196;0.813152;0.885808;0.788547;0.782316;0.824099;0.801175;0.835007;0.84038;0.888887;0.922135;0.911089;0.901345;0.903462;0.908238;0.937311;0.918326;0.928115;0.925254;0.917126;0.932205;0.943777;0.925482;0.942258;0.937754;0.999533;0.997478;0.910386;0.946653;0.950127;0.962283;0.902461;0.87897;0.860138;0.859187;0.934875;0.863711;0.987782;0.989439;0.867162;0.87841;0.881387;0.933866;0.90456;0.987438;0.865338;0.78595;0.929584;0.897201;0.891645;0.941791;0.922375;0.939925;0.954802;0.927251;0.998272;0.945351;0.941366;0.964362;0.968808;0.929698;0.965841;0.98657;0.99055;0.998961;0.794558;0.926244;0.999006;0.977679;0.91184;0.998333;0.961299;0.998382;0.982401;0.966122;0.999197;0.999605;0.998291;0.970504;0.957002;0.994772;0.99953;0.999857;0.999977;0.866267;0.856679;0.854582;0.86364;0.852859;0.886497;0.856111;0.868007;0.851219
Sample04;0.821246;0.751574;0.765787;0;0.80234;0.763713;0.781214;0.808605;0.692202;0.886382;0.807403;0.801882;0.742491;0.744221;0.883926;0.843581;0.805881;0.858091;0.81216;0.808349;0.801717;0.768099;0.921954;0.764188;0.798527;0.919446;0.903157;0.815831;0.722051;0.717843;0.825272;0.825742;0.781368;0.868679;0.737893;0.780758;0.848055;0.873754;0.832025;0.858976;0.927298;0.902451;0.820529;0.893093;0.906193;0.928586;0.810006;0.842725;0.978504;0.830735;0.829627;0.874965;0.83667;0.869925;0.840337;0.863044;0.961797;0.801831;0.855683;0.875711;0.903995;0.876535;0.909213;0.791331;0.851974;0.84509;0.838061;0.830818;0.870787;0.883086;0.861754;0.993663;0.988706;0.971623;0.968314;0.991923;0.864111;0.853537;0.793424;0.987247;0.997959;0.789587;0.845038;0.802477;0.99961;0.851387;0.862227;0.834198;0.865519;0.837582;0.923896;0.841383;0.831077;0.832417;0.855478;0.858939;0.848489;0.807951;0.848437;0.847998;0.85413;0.935691;0.857034;0.90394;0.856698;0.867604;0.863636;0.956637;0.870953;0.857589;0.973444;0.956582;0.958163;0.991121;0.989188;0.972277;0.873927;0.85451;0.902233;0.897825;0.870127;0.810174;0.893617;0.820388;0.798829;0.878074;0.79743;0.793514;0.808105;0.789589;0.815337;0.828042;0.925829;0.937537;0.938175;0.929553;0.931378;0.934004;0.942049;0.92599;0.933488;0.931772;0.925515;0.935697;0.950581;0.936575;0.941849;0.937566;0.998784;0.998859;0.895098;0.919085;0.914327;0.962822;0.905364;0.897605;0.891533;0.889283;0.943282;0.867377;0.990627;0.983583;0.802299;0.812699;0.824177;0.92933;0.913747;0.989035;0.878194;0.781275;0.884443;0.855268;0.835089;0.921198;0.907597;0.937569;0.944803;0.942181;0.992633;0.901617;0.90091;0.923897;0.932955;0.913497;0.958402;0.974229;0.990138;0.998876;0.871397;0.909649;0.99682;0.973134;0.896072;0.990316;0.936115;0.990462;0.983679;0.962975;0.999023;0.999375;0.996146;0.946888;0.933148;0.990288;0.999326;0.999786;0.999954;0.789796;0.774214;0.761222;0.797599;0.772306;0.797608;0.762994;0.783093;0.772789
Sample05;0.775246;0.852718;0.827793;0.80234;0;0.746703;0.86337;0.784313;0.823269;0.929333;0.877874;0.775275;0.876146;0.814415;0.918984;0.724306;0.881544;0.940438;0.876476;0.91644;0.899183;0.819893;0.953759;0.846311;0.880698;0.949292;0.948427;0.76622;0.756535;0.795586;0.9001;0.898958;0.860338;0.745093;0.81648;0.868179;0.912599;0.91829;0.899305;0.913814;0.965184;0.941233;0.878084;0.93379;0.891321;0.96105;0.894576;0.909905;0.990062;0.859692;0.80204;0.918266;0.884882;0.914881;0.890737;0.901654;0.970594;0.844475;0.88337;0.914202;0.933431;0.879376;0.908857;0.783641;0.888812;0.889663;0.875492;0.872758;0.915353;0.92679;0.869351;0.996373;0.994063;0.979208;0.976609;0.994675;0.921133;0.929932;0.891685;0.993428;0.995208;0.892687;0.913409;0.865879;0.999723;0.896074;0.865911;0.838088;0.907711;0.829044;0.953761;0.871085;0.861164;0.829137;0.876045;0.890569;0.836952;0.881436;0.887434;0.868319;0.89652;0.947257;0.890181;0.948916;0.899751;0.906234;0.885183;0.965163;0.911478;0.90705;0.978579;0.984576;0.981784;0.995573;0.994332;0.9815;0.885745;0.823337;0.924845;0.917675;0.81678;0.875697;0.922806;0.899566;0.889921;0.939299;0.904844;0.90348;0.910514;0.890351;0.911434;0.909683;0.885837;0.896726;0.895115;0.888573;0.886846;0.904964;0.906522;0.908783;0.924906;0.922396;0.914217;0.900505;0.928131;0.908577;0.924261;0.905582;0.99949;0.999577;0.930306;0.942778;0.932717;0.984136;0.941578;0.919659;0.91697;0.932672;0.967795;0.951272;0.960478;0.988819;0.88498;0.885965;0.884958;0.932102;0.928731;0.991637;0.909242;0.871377;0.887686;0.909494;0.89499;0.950078;0.931745;0.949473;0.966291;0.947742;0.993855;0.954906;0.954941;0.973925;0.977476;0.950263;0.978157;0.988451;0.995765;0.999655;0.861617;0.94675;0.997404;0.97831;0.940151;0.995941;0.963293;0.996743;0.987918;0.974076;0.999411;0.999669;0.998631;0.980153;0.971317;0.995989;0.999514;0.999873;0.999983;0.891095;0.886891;0.893212;0.88513;0.888553;0.898892;0.8836;0.882188;0.846387
Sample06;0.817246;0.801169;0.782147;0.763713;0.746703;0;0.806424;0.722819;0.733457;0.811704;0.802071;0.731795;0.757443;0.643436;0.772325;0.737643;0.857531;0.855904;0.820709;0.790336;0.823468;0.722799;0.885554;0.719653;0.758215;0.853531;0.894973;0.64252;0.683008;0.636745;0.810752;0.833438;0.749779;0.66865;0.673729;0.772266;0.810264;0.756678;0.732792;0.750718;0.834294;0.829336;0.698838;0.812594;0.774999;0.897111;0.79634;0.81028;0.962857;0.795579;0.682458;0.81306;0.747603;0.816427;0.76123;0.830346;0.926185;0.67639;0.809098;0.789378;0.821826;0.758526;0.813461;0.671654;0.76294;0.751751;0.744501;0.754032;0.7975;0.823637;0.737971;0.991967;0.990387;0.987787;0.987;0.9912;0.817219;0.806241;0.777813;0.98724;0.99693;0.797588;0.775925;0.76201;0.999592;0.743733;0.709305;0.6541;0.748974;0.626458;0.849273;0.701295;0.705547;0.62406;0.688338;0.719904;0.666522;0.726578;0.688207;0.846508;0.844407;0.936245;0.848447;0.875863;0.844302;0.849709;0.854311;0.959374;0.881982;0.848963;0.962145;0.933959;0.929928;0.993043;0.985007;0.963467;0.82412;0.752083;0.87462;0.870965;0.784809;0.760441;0.818762;0.769105;0.777609;0.867451;0.808059;0.805243;0.797818;0.789441;0.793168;0.793855;0.936056;0.947707;0.945059;0.938441;0.939901;0.942605;0.948353;0.956095;0.961427;0.960245;0.955534;0.947358;0.954328;0.94374;0.955054;0.953076;0.998494;0.995064;0.907781;0.921158;0.937904;0.948538;0.918744;0.911703;0.891367;0.87619;0.938003;0.909854;0.989716;0.979679;0.836578;0.838397;0.850926;0.93435;0.911278;0.98113;0.841161;0.814718;0.88522;0.861733;0.829758;0.911302;0.889465;0.920349;0.939516;0.920756;0.998415;0.924459;0.906416;0.938258;0.949415;0.896199;0.946243;0.972564;0.988237;0.998495;0.83707;0.912139;0.996022;0.983511;0.894084;0.991348;0.947713;0.991746;0.971941;0.959704;0.998686;0.999254;0.99654;0.955537;0.943848;0.991104;0.999315;0.999724;0.999904;0.876929;0.875556;0.862082;0.887842;0.865595;0.888884;0.809177;0.834055;0.778968
Sample07;0.741272;0.759772;0.720783;0.781214;0.86337;0.806424;0;0.805406;0.758723;0.886413;0.803835;0.796459;0.762374;0.708053;0.892659;0.839119;0.784184;0.821817;0.739802;0.810257;0.708368;0.800842;0.952765;0.740441;0.836287;0.912339;0.888064;0.849457;0.688742;0.761037;0.784264;0.851122;0.840696;0.876193;0.759054;0.78131;0.86175;0.886416;0.801416;0.87878;0.938527;0.893359;0.799865;0.890855;0.910539;0.914632;0.775456;0.821905;0.956615;0.861223;0.838998;0.891104;0.838274;0.873395;0.839966;0.877671;0.961873;0.816216;0.868913;0.865803;0.906652;0.908005;0.907706;0.790129;0.79269;0.799271;0.807433;0.823704;0.840783;0.816963;0.792731;0.995894;0.994487;0.990041;0.990292;0.995069;0.825624;0.833041;0.752868;0.989975;0.998612;0.733906;0.838078;0.72709;0.999616;0.907536;0.909165;0.880341;0.912506;0.8784;0.94689;0.870807;0.860255;0.870396;0.888935;0.905555;0.869938;0.842293;0.881224;0.822224;0.816285;0.929185;0.822875;0.884938;0.817362;0.81715;0.823626;0.95978;0.856702;0.832998;0.958088;0.943323;0.953621;0.994655;0.987681;0.958381;0.897044;0.880703;0.935379;0.929741;0.878838;0.785577;0.892759;0.787135;0.724182;0.843494;0.765265;0.762238;0.789898;0.767096;0.813016;0.815216;0.890598;0.904086;0.901422;0.890717;0.890863;0.897674;0.922092;0.902661;0.914162;0.910292;0.901611;0.933405;0.952312;0.937998;0.949141;0.944264;0.999372;0.996843;0.910976;0.937721;0.909244;0.970613;0.902402;0.8883;0.890174;0.859371;0.933625;0.876567;0.892989;0.985188;0.839706;0.839022;0.850373;0.897754;0.900678;0.987208;0.881846;0.784889;0.916867;0.888792;0.860625;0.943225;0.920206;0.93572;0.950997;0.922452;0.996965;0.916074;0.91903;0.942373;0.954936;0.929344;0.963048;0.981695;0.990278;0.998604;0.831302;0.889879;0.997172;0.99152;0.921931;0.994652;0.933342;0.993571;0.987268;0.959012;0.998419;0.999509;0.997206;0.962211;0.951909;0.989221;0.999445;0.999797;0.999956;0.84364;0.828203;0.828575;0.842202;0.8356;0.865947;0.853799;0.85588;0.849408
Sample08;0.772972;0.877158;0.766561;0.808605;0.784313;0.722819;0.805406;0;0.691885;0.870752;0.791682;0.766971;0.863899;0.747697;0.8958;0.727426;0.787708;0.931512;0.799865;0.900805;0.808842;0.838192;0.953587;0.827233;0.89018;0.921606;0.931106;0.784787;0.7423;0.752222;0.880842;0.908317;0.781651;0.719925;0.774009;0.880808;0.898955;0.886241;0.840202;0.857389;0.916898;0.896945;0.801235;0.880873;0.866595;0.960794;0.875296;0.872015;0.977061;0.858359;0.808624;0.867774;0.830216;0.861456;0.860926;0.875033;0.973256;0.826136;0.907622;0.901932;0.925738;0.878681;0.879327;0.786006;0.844991;0.83852;0.842865;0.848543;0.889779;0.901387;0.818798;0.998669;0.997732;0.997476;0.997742;0.998273;0.898359;0.900182;0.849263;0.997655;0.998824;0.832445;0.883621;0.83391;0.999401;0.82104;0.804261;0.772312;0.859663;0.771044;0.937724;0.794828;0.784498;0.763267;0.806044;0.83739;0.781397;0.764112;0.826534;0.908124;0.899001;0.947346;0.898092;0.939475;0.911093;0.897285;0.890328;0.968706;0.924276;0.923715;0.955487;0.97488;0.968474;0.998278;0.992694;0.958092;0.901318;0.857885;0.928844;0.924838;0.872322;0.833252;0.918814;0.841584;0.836199;0.908635;0.859523;0.857889;0.874534;0.851228;0.89203;0.900931;0.870761;0.898491;0.891167;0.879711;0.881619;0.910394;0.897369;0.917083;0.92711;0.924196;0.915918;0.894252;0.94279;0.925077;0.915139;0.935257;0.999116;0.998686;0.917529;0.968175;0.968956;0.980157;0.951658;0.941864;0.933573;0.920673;0.950499;0.917664;0.996321;0.991842;0.906475;0.902838;0.929433;0.965678;0.942598;0.991137;0.908398;0.853848;0.936446;0.926883;0.907584;0.956109;0.942916;0.960688;0.972197;0.952632;0.998929;0.970354;0.959579;0.972614;0.977805;0.95597;0.97911;0.992329;0.994414;0.998789;0.91635;0.961746;0.99906;0.997269;0.946444;0.998729;0.974062;0.998994;0.986089;0.971415;0.998215;0.999205;0.998559;0.982644;0.978932;0.997818;0.999577;0.999845;0.999985;0.928826;0.919012;0.919614;0.926954;0.922593;0.941617;0.859909;0.86644;0.829689
Sample09;0.731219;0.828809;0.76944;0.692202;0.823269;0.733457;0.758723;0.691885;0;0.859836;0.688163;0.731139;0.787809;0.690345;0.885794;0.769426;0.703056;0.874656;0.75931;0.828485;0.778771;0.794901;0.936624;0.773872;0.838958;0.906663;0.910544;0.706202;0.703604;0.642814;0.849053;0.883293;0.704267;0.792893;0.722073;0.788137;0.861527;0.881097;0.818378;0.818653;0.902922;0.848217;0.765721;0.83937;0.868337;0.930744;0.834628;0.863509;0.950821;0.823657;0.79967;0.846159;0.803442;0.823959;0.835423;0.832365;0.969731;0.797868;0.89437;0.880735;0.910209;0.875485;0.892864;0.808655;0.845726;0.825591;0.818774;0.846899;0.876555;0.880014;0.82583;0.996655;0.994336;0.986139;0.985791;0.995194;0.887351;0.880421;0.823181;0.993527;0.998797;0.814715;0.871568;0.841747;0.999691;0.823792;0.80492;0.779861;0.853211;0.78368;0.929601;0.781315;0.763438;0.784237;0.813577;0.818287;0.802174;0.770443;0.818004;0.886651;0.875719;0.934716;0.879068;0.92127;0.893667;0.881891;0.867752;0.92939;0.894044;0.891512;0.942239;0.961632;0.961708;0.995054;0.989067;0.946539;0.888322;0.853595;0.915241;0.912697;0.871775;0.857069;0.914592;0.853355;0.825023;0.907331;0.828051;0.820284;0.851292;0.827682;0.863363;0.869259;0.878824;0.893766;0.892618;0.88485;0.883761;0.897633;0.921479;0.912068;0.923122;0.918987;0.911078;0.904164;0.933435;0.918594;0.923996;0.938402;0.999424;0.998642;0.885125;0.938282;0.944926;0.974725;0.939629;0.938996;0.928806;0.913952;0.941339;0.904995;0.991083;0.989277;0.85555;0.850252;0.884057;0.958953;0.944503;0.991229;0.897773;0.806201;0.920279;0.902822;0.872517;0.945954;0.930657;0.95226;0.964393;0.943675;0.994153;0.936265;0.931882;0.9518;0.960255;0.940027;0.970039;0.983158;0.993737;0.999281;0.890129;0.942166;0.997682;0.990579;0.933666;0.993201;0.958609;0.994223;0.985444;0.971252;0.999258;0.999616;0.998171;0.966509;0.958215;0.993895;0.999487;0.999843;0.999966;0.845654;0.840094;0.829995;0.853695;0.840962;0.865835;0.774984;0.775555;0.761355
Sample10;0.932373;0.90851;0.864785;0.886382;0.929333;0.811704;0.886413;0.870752;0.859836;0;0.851706;0.878687;0.849994;0.810586;0.585875;0.873755;0.881404;0.873118;0.863572;0.794954;0.817758;0.892455;0.769218;0.845849;0.858807;0.640123;0.858554;0.807239;0.851922;0.813752;0.790746;0.863684;0.758673;0.808832;0.769015;0.771061;0.804151;0.713097;0.694844;0.78938;0.847783;0.861001;0.707513;0.817211;0.825852;0.90363;0.78151;0.778952;0.919157;0.691677;0.686067;0.612478;0.601479;0.623238;0.63951;0.706711;0.88271;0.656844;0.748579;0.714752;0.728522;0.820669;0.80811;0.730917;0.715751;0.674403;0.723292;0.73564;0.73336;0.785985;0.688074;0.996558;0.998156;0.996538;0.997151;0.996035;0.823496;0.771393;0.82078;0.99701;0.998723;0.787469;0.675605;0.848245;0.99975;0.765073;0.818267;0.790838;0.734428;0.795479;0.784214;0.761139;0.807669;0.778336;0.753427;0.795898;0.782507;0.773818;0.746882;0.833395;0.753563;0.906556;0.794286;0.769516;0.812106;0.74856;0.762443;0.874562;0.768034;0.799001;0.929785;0.912997;0.855407;0.998522;0.979491;0.933309;0.81093;0.772758;0.824444;0.827984;0.848248;0.830624;0.806459;0.792496;0.847565;0.898841;0.835023;0.83316;0.855124;0.80818;0.825949;0.801253;0.975549;0.979627;0.979706;0.976763;0.978269;0.980045;0.981419;0.985354;0.987297;0.986673;0.985146;0.978161;0.982035;0.977419;0.987548;0.983192;0.999431;0.99914;0.873897;0.916025;0.953053;0.947664;0.936429;0.931073;0.909423;0.887879;0.944814;0.956043;0.992431;0.984126;0.912385;0.912282;0.92699;0.960229;0.953099;0.983636;0.807874;0.848183;0.923758;0.914502;0.910996;0.930669;0.920112;0.924738;0.954351;0.896829;0.999778;0.9669;0.94678;0.960613;0.971847;0.948966;0.972957;0.987076;0.993702;0.999707;0.873437;0.94463;0.998968;0.996231;0.918019;0.999287;0.96871;0.999268;0.964133;0.957612;0.999068;0.999387;0.998784;0.981624;0.976988;0.997119;0.99943;0.999723;0.999931;0.950754;0.956338;0.943289;0.958262;0.950292;0.961061;0.910732;0.933309;0.937828
